league_key,min_edge_threshold,kelly_fraction,max_edge_ceiling,n_bets,roi,final_bankroll,max_drawdown,win_rate
SERIEA,0.08,0.2,sin techo,241,-0.07191189944146993,585.4108535797448,0.6277343750580936,0.4190871369294606
SERIEA,0.08,0.2,20%,215,-0.0902679775693907,602.2034371146331,0.5855408531420633,0.4186046511627907
SERIEA,0.08,0.2,25%,231,-0.0618757204749034,659.5016410000194,0.5751371611578189,0.42424242424242425
SERIEA,0.08,0.2,30%,237,-0.06409265285305793,621.2329575608011,0.6207809000962422,0.4219409282700422
SERIEA,0.08,0.2,35%,239,-0.06091062684906914,632.5103895200994,0.6185747339687805,0.4225941422594142
SERIEA,0.08,0.2,40%,241,-0.07191189944146993,585.4108535797448,0.6277343750580936,0.4190871369294606
SERIEA,0.08,0.25,sin techo,241,-0.06792797722689654,516.2496624285129,0.7007694252825972,0.4190871369294606
SERIEA,0.08,0.25,20%,215,-0.08524098996671085,535.3086346755808,0.6635740048245534,0.4186046511627907
SERIEA,0.08,0.25,25%,231,-0.058562673606837735,597.1073746235362,0.6522285978175817,0.42424242424242425
SERIEA,0.08,0.25,30%,237,-0.060594890569981366,553.1074728170717,0.6953714653394296,0.4219409282700422
SERIEA,0.08,0.25,35%,239,-0.0570092513658339,568.9526556920877,0.6908199978780946,0.4225941422594142
SERIEA,0.08,0.25,40%,241,-0.06792797722689654,516.2496624285129,0.7007694252825972,0.4190871369294606
SERIEA,0.1,0.05,sin techo,182,-0.12889683711763136,860.6580738619364,0.20954063376175783,0.37362637362637363
SERIEA,0.1,0.05,20%,156,-0.16437032914663788,863.3765626205593,0.18808099433300493,0.36538461538461536
SERIEA,0.1,0.05,25%,172,-0.11623917276422989,884.8950892057007,0.1881762203775353,0.37790697674418605
SERIEA,0.1,0.05,30%,178,-0.1204879348307677,872.7752631793027,0.2102240665468496,0.37640449438202245
SERIEA,0.1,0.05,35%,180,-0.11385193510349474,877.2248940288754,0.20954063376175802,0.37777777777777777
SERIEA,0.1,0.05,40%,182,-0.12889683711763136,860.6580738619364,0.20954063376175783,0.37362637362637363
SERIEA,0.1,0.1,sin techo,182,-0.12482669457698731,734.1003961138745,0.3785048437938842,0.37362637362637363
SERIEA,0.1,0.1,20%,156,-0.16163530364206347,740.8494236373087,0.3443566646855031,0.36538461538461536
SERIEA,0.1,0.1,25%,172,-0.11339944828819992,777.0756994813353,0.34456054128414365,0.37790697674418605
SERIEA,0.1,0.1,30%,178,-0.11609652482770849,755.3541244458376,0.380039897129563,0.37640449438202245
SERIEA,0.1,0.1,35%,180,-0.10999415414787933,762.77413745824,0.37850484379388377,0.37777777777777777
SERIEA,0.1,0.1,40%,182,-0.12482669457698731,734.1003961138745,0.3785048437938842,0.37362637362637363
SERIEA,0.1,0.15,sin techo,182,-0.12068047603709216,620.5489688335343,0.5139685175231133,0.37362637362637363
SERIEA,0.1,0.15,20%,156,-0.15881848639877266,631.8081919442167,0.4734284857839426,0.36538461538461536
SERIEA,0.1,0.15,25%,172,-0.11044720523804873,677.197532468476,0.473733330235728,0.37790697674418605
SERIEA,0.1,0.15,30%,178,-0.11161005510383269,648.2542309212263,0.5163057905419478,0.37640449438202245
SERIEA,0.1,0.15,35%,180,-0.10603638059695744,657.4431749966336,0.5139685175231133,0.37777777777777777
SERIEA,0.1,0.15,40%,182,-0.12068047603709216,620.5489688335343,0.5139685175231133,0.37362637362637363
SERIEA,0.1,0.2,sin techo,182,-0.11648606455634596,520.1745978938152,0.6225017559706544,0.37362637362637363
SERIEA,0.1,0.2,20%,156,-0.15616467853575544,535.0958712771902,0.5797151558509127,0.36538461538461536
SERIEA,0.1,0.2,25%,172,-0.1073909973923716,586.0089522080672,0.5795338624183105,0.37790697674418605
SERIEA,0.1,0.2,30%,178,-0.10705299210734749,552.0048046966318,0.6247052562463188,0.37640449438202245
SERIEA,0.1,0.2,35%,180,-0.10199906912747454,562.0255168150213,0.6217270494382879,0.37777777777777777
SERIEA,0.1,0.2,40%,182,-0.11648606455634596,520.1745978938152,0.6225017559706544,0.37362637362637363
SERIEA,0.1,0.25,sin techo,182,-0.11285388167154214,444.93384688436305,0.6960440421052164,0.37362637362637363
SERIEA,0.1,0.25,20%,156,-0.15141793019906255,461.3599725687049,0.6582612397786123,0.36538461538461536
SERIEA,0.1,0.25,25%,172,-0.10419972019810982,514.6217044375534,0.6556197427803816,0.37790697674418605
SERIEA,0.1,0.25,30%,178,-0.10371536030814285,476.7000417265471,0.6983419209730921,0.37640449438202245
SERIEA,0.1,0.25,35%,180,-0.09800130250886155,490.35633767065116,0.6946998641221893,0.37777777777777777
SERIEA,0.1,0.25,40%,182,-0.11285388167154214,444.93384688436305,0.6960440421052164,0.37362637362637363
SERIEA,0.12,0.05,sin techo,129,-0.12327432676704013,897.4709203288376,0.16930074304197854,0.37209302325581395
